DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES,MES
CHN,RCH,8316550000,603781530,2389020000000,DIC
DNK,RCH,2829000000,325335000,1243450000000,DIC
GTM,RCH,2998039000,417926637,1647900000000,DIC
GTM,RCH,1886929000,117725500,470727000000,DIC
GTM,RCH,1098970000,133195164,538804000000,DIC
GTM,RCH,15628000,1562800,6248871428,DIC
GTM,RCH,489749000,68271011,276171000000,DIC
ISR,RCH,3509650000,386447562,1539030000000,DIC
ISR,RCH,3509650000,386447562,1529080000000,DIC
ITA,RCH,3018850000,432027624,1720550000000,DIC
ITA,RCH,3018850000,432027624,1709430000000,DIC
MAR,RCH,3665600000,314801728,1253700000000,DIC
MAR,RCH,3665600000,314801728,1245590000000,DIC
MAR,RCH,3619500000,355688264,1416530000000,DIC
MAR,RCH,3619500000,355688264,1407370000000,DIC
NLD,RCH,7832000000,967095360,3851460000000,DIC
NLD,RCH,7832000000,967095360,3826560000000,DIC
NLD,RCH,8334750000,1101777549,4387830000000,DIC
NLD,RCH,8334750000,1101777549,4359470000000,DIC
POL,RCH,1810000000,249780000,988320000000,DIC
POL,RCH,2631224000,328903000,1257080000000,DIC
POL,RCH,3275000000,473237500,1808740000000,DIC
GBR,RCH,728890000,124614414,489208000000,DIC
GBR,RCH,945538000,69806081,274043000000,DIC
GBR,RCH,2171379000,224332301,880677000000,DIC
TUR,RCH,8389250000,698824525,2783070000000,DIC
TUR,RCH,8389250000,698824525,2765080000000,DIC
TUR,RCH,8139150000,867714782,3455670000000,DIC
TUR,RCH,8139150000,867714782,3433340000000,DIC
TUR,RCH,8345850000,751710710,2993690000000,DIC
TUR,RCH,8345850000,751710710,2974340000000,DIC
TUR,RCH,579812000,113672143,437048000000,DIC
PAN,ADZ,10600,43800,171495834,DIC
PAN,ADZ,19200,592100,2318326103,DIC
PAN,ADZ,1400,2255400,8830860822,DIC
PAN,ADZ,176500,3264796,12783080202,DIC
PAN,ADZ,236900,11692293,45780354780,DIC
ALB,BUN,1994300,8489835,33387040222,DIC
DEU,BUN,12582400,48399657,194897000000,DIC
DEU,BUN,1955700,7614098,29477599702,DIC
DEU,BUN,12414700,47148875,185087000000,DIC
DEU,BUN,1996600,9012490,35652328941,DIC
DEU,BUN,1993000,7941820,31633460333,DIC
DEU,BUN,25161800,110574611,430357000000,DIC
DEU,BUN,2098700,7216829,28331610783,DIC
DEU,BUN,56386100,330538987,1316420000000,DIC
DEU,BUN,12597800,52499385,209772000000,DIC
DEU,BUN,57240100,313803449,1235710000000,DIC
DEU,BUN,2000100,7892966,30167310700,DIC
DEU,BUN,3846500,15264011,59765166589,DIC
DEU,BUN,4192500,17043696,67437814584,DIC
DEU,BUN,1440000,19296000,76084706880,DIC
DEU,BUN,1926300,7701429,30794240870,DIC
DEU,BUN,3988900,15094779,59726417756,DIC
DEU,BUN,6121000,25797224,100599000000,DIC
DEU,BUN,7080000,114981600,451870000000,DIC
DEU,BUN,6283000,26278561,103978000000,DIC
DEU,BUN,1931400,9452681,36128619416,DIC
DEU,BUN,4320000,67824000,265560000000,DIC
DEU,BUN,4320000,54000000,211433000000,DIC
DEU,BUN,19542100,88111049,343586000000,DIC
DEU,BUN,48600,289288,1144643186,DIC
DEU,BUN,12404700,49556325,196378000000,DIC
DEU,BUN,8363800,39007366,149976000000,DIC
DEU,BUN,18109400,79356463,316491000000,DIC
DEU,BUN,813400,4668916,18329090365,DIC
DEU,BUN,40526300,165951995,655308000000,DIC
DEU,BUN,14334400,61631426,239788000000,DIC
DEU,BUN,8406100,32993943,130278000000,DIC
DEU,BUN,2088300,9039691,34550150986,DIC
DEU,BUN,27439600,105459132,424072000000,DIC
DEU,BUN,1240100,10945034,43297241099,DIC
DEU,BUN,420200,1981530,7838694896,DIC
DEU,BUN,13607600,54649555,214842000000,DIC
DEU,BUN,10484300,45499707,180031000000,DIC
DEU,BUN,10499100,40865191,160706000000,DIC
DEU,BUN,2097800,8327046,33684733020,DIC
DEU,BUN,12505400,55660440,220553000000,DIC
DEU,BUN,5767200,23314747,89110128771,DIC
DEU,BUN,733000,5659042,21629141472,DIC
DEU,BUN,2000000,1840000,7235965600,DIC
DEU,BUN,2500000,2300000,9044957000,DIC
DEU,BUN,2310000,2148300,8448383097,DIC
DEU,BUN,389762,7268439,29062926025,DIC
DEU,BUN,3859900,13559944,54238555605,DIC
DEU,BUN,2100300,8149366,32454850095,DIC
DEU,BUN,23000000,21620000,85526125600,DIC
DEU,BUN,412015,8957333,35815985573,DIC
DEU,BUN,2500000,1415975,5481876413,DIC
ABW,BUN,300000,525000,2032511250,DIC
ABW,BUN,800,92234,357079319,DIC
ABW,BUN,1771,23920,92605084,DIC
ABW,BUN,8500,24650,95431242,DIC
ABW,BUN,910500,674850,2612648032,DIC
ABW,BUN,2313,16910,65466219,DIC
ABW,BUN,100,3036,11753722,DIC
ABW,BUN,100,19450,75299702,DIC
ABW,BUN,100,24250,93882662,DIC
ABW,BUN,400,15352,59434500,DIC
ABW,BUN,200,50190,194308075,DIC
ABW,BUN,2135000,1687432,6635978206,DIC
ABW,BUN,180000,83316,327647668,DIC
ABW,BUN,738045,1274805,5026594359,DIC
ABW,BUN,2536500,1925076,7401551455,DIC
ABW,BUN,110400,88348,339681273,DIC
ABW,BUN,101700,4466740,17860304557,DIC
ABW,BUN,2000,1000,3998510,DIC
ABW,BUN,1500,4350,17393518,DIC
ABW,BUN,3000,600,2399106,DIC
SAU,BUN,1500000,12268599,48946189140,DIC
SAU,BUN,953100,8326794,32947125427,DIC
SAU,BUN,1995000,8638999,34174843364,DIC
SAU,BUN,1995000,8638999,34174843364,DIC
SAU,BUN,1925400,7897329,30363729512,DIC
